Date,Pies,Cookies,Smoothies,Coffee,promotion
1/1/2013,46,518,60,233,none
1/2/2013,50,539,161,427,none
1/3/2013,60,222,166,347,none
1/4/2013,64,734,153,358,none
1/5/2013,73,764,240,392,none
1/6/2013,57,922,259,510,none
1/7/2013,50,476,120,334,none
1/8/2013,48,496,222,316,none
1/9/2013,37,587,181,156,none
1/10/2013,36,488,178,298,none
1/11/2013,50,645,100,490,none
1/12/2013,71,438,162,416,none
1/13/2013,51,568,137,434,none
1/14/2013,48,585,194,573,promotion
1/15/2013,56,536,112,287,none
1/16/2013,33,336,151,420,none
1/17/2013,67,404,166,376,none
1/18/2013,74,533,181,456,none
1/19/2013,45,470,208,584,none
1/20/2013,54,395,231,411,none
1/21/2013,36,431,159,308,none
1/22/2013,39,276,204,382,none
1/23/2013,43,387,184,295,none
1/24/2013,42,456,114,365,none
1/25/2013,58,647,113,362,none
1/26/2013,16,597,178,425,none
1/27/2013,66,470,192,355,none
1/28/2013,46,590,203,255,none
1/29/2013,38,535,141,287,none
1/30/2013,40,397,204,382,none
1/31/2013,45,508,181,503,none
2/1/2013,59,731,236,419,none
2/2/2013,62,602,213,329,none
2/3/2013,59,536,224,627,none
2/4/2013,49,518,127,429,none
2/5/2013,54,331,171,328,none
2/6/2013,34,406,146,435,none
2/7/2013,50,430,160,376,none
2/8/2013,70,601,267,581,none
2/9/2013,58,411,141,488,none
2/10/2013,60,440,187,387,none
2/11/2013,43,334,209,236,none
2/12/2013,49,424,184,460,none
2/13/2013,61,599,218,388,promotion
2/14/2013,53,371,118,226,none
2/15/2013,50,730,195,523,promotion
2/16/2013,71,820,225,568,none
2/17/2013,69,611,125,535,none
2/18/2013,56,549,179,320,promotion
2/19/2013,43,405,206,310,none
2/20/2013,59,431,202,509,none
2/21/2013,45,632,260,200,promotion
2/22/2013,44,689,159,420,none
2/23/2013,70,612,244,258,none
2/24/2013,51,599,203,331,none
2/25/2013,57,502,143,330,none
2/26/2013,34,411,99,282,none
2/27/2013,56,551,159,445,none
2/28/2013,50,470,165,248,none
3/1/2013,56,622,119,355,none
3/2/2013,84,597,247,506,promotion
3/3/2013,52,679,139,506,promotion
3/4/2013,42,352,156,297,none
3/5/2013,46,513,161,251,none
3/6/2013,52,365,100,357,none
3/7/2013,45,392,126,317,none
3/8/2013,49,653,241,455,none
3/9/2013,48,674,168,630,none
3/10/2013,59,762,206,481,none
3/11/2013,54,356,137,231,none
3/12/2013,50,605,171,388,none
3/13/2013,52,527,150,485,none
3/14/2013,38,439,92,285,none
3/15/2013,47,639,246,444,none
3/16/2013,51,557,291,381,none
3/17/2013,57,718,269,440,promotion
3/18/2013,45,520,140,186,none
3/19/2013,30,343,130,255,none
3/20/2013,43,261,129,304,none
3/21/2013,37,420,179,462,none
3/22/2013,44,515,224,483,none
3/23/2013,68,793,235,375,none
3/24/2013,46,585,281,455,none
3/25/2013,46,308,117,374,none
3/26/2013,37,440,196,322,none
3/27/2013,23,529,142,231,none
3/28/2013,42,359,68,352,none
3/29/2013,41,528,91,460,none
3/30/2013,33,817,271,225,none
3/31/2013,77,515,172,300,none
4/1/2013,37,411,166,335,none
4/2/2013,41,417,68,262,none
4/3/2013,54,497,215,348,none
4/4/2013,46,417,191,500,none
4/5/2013,72,519,289,439,none
4/6/2013,74,552,247,333,none
4/7/2013,53,487,253,435,none
4/8/2013,54,594,147,282,promotion
4/9/2013,63,284,147,254,none
4/10/2013,36,522,149,370,none
4/11/2013,39,320,212,263,none
4/12/2013,69,445,119,433,none
4/13/2013,74,653,215,444,none
4/14/2013,52,633,261,518,none
4/15/2013,44,491,140,300,none
4/16/2013,44,599,164,396,none
4/17/2013,52,410,231,295,none
4/18/2013,38,564,305,339,none
4/19/2013,45,609,288,412,none
4/20/2013,75,632,272,444,none
4/21/2013,53,606,257,313,none
4/22/2013,36,360,180,475,none
4/23/2013,47,631,147,253,none
4/24/2013,44,460,232,391,none
4/25/2013,43,285,162,292,none
4/26/2013,78,685,245,621,none
4/27/2013,68,400,252,385,none
4/28/2013,61,757,216,301,none
4/29/2013,43,405,143,309,none
4/30/2013,40,403,188,294,none
5/1/2013,61,467,178,273,none
5/2/2013,49,418,251,295,none
5/3/2013,44,434,205,467,none
